meal_id,meal_name,category,restaurant,brand,price_egp,description,nutrition_grade,energy_kcal,fat_g,carbs_g,protein_g,image_url,rating,num_ratings,prep_time_min,is_available,source,calories,scraped_at,avg_sentiment
4001724039143,Ristorante Pizza Vegetale,Pizzas,Fresh & Fit,Dr. Oetker Ristorante,48.0,"WEIZENMEHL, 15% Tomatenpüree, 12% KÄSE (schnittfester MOZZARELLA, EDAMER), 9,0% Cherrytomaten, 9,0% Gemüsepaprika, Wasser, SAUERRAHM, Rapsöl, 3,0% Zwiebeln, 3,0% eingelegte Peperonistücke (Peperoni, W",c,192.727272727273,7.9,22.0,6.7,https://images.openfoodfacts.org/images/products/400/172/403/9143/front_de.83.400.jpg,3.9,106,38,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
4001724039112,Pizza,Pizzas,The Grill House,Dr. Oetker Ristorante,125.0,"WEIZENMEHL, 24% schnittfester MOZZARELLA KÄSE, 16% Tomatenpüree, 10% Cherrytomaten, Wasser, Rapsöl, natives Olivenöl extra, Basilikum, Backhefe, Salz, Zucker, Petersilie, 0,3% PECORINO HARTKÄSE, Knobl",c,243.661971830986,12.0,23.0,10.0,https://images.openfoodfacts.org/images/products/400/172/403/9112/front_de.84.400.jpg,4.0,755,35,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3242272346050,Dolce Pizza Prosciutto,Pizzas,Flavor Street,Sodebo,113.0,"Pâte fine à pizza (farines de blé et de blé malté, eau, semoule de blé dur, levure boulangère, sel), mozzarella, purée de tomates 13%, jambon de porc, eau, roquette, farine de blé, dextrose, sirop de ",c,205.0,5.0,27.0,12.0,https://images.openfoodfacts.org/images/products/324/227/234/6050/front_en.162.400.jpg,4.2,1373,43,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3038352876506,Tomapizza,Pizzas,Urban Bites,Panzani,49.0,"tomato pulp with pieces and tomato puree (67%), water, onions, sunflower oil, salt, sugar, spices and aromatic plants (of which oregano 0,1%), processed corn starch,",b,47.0,1.4,6.5,1.5,https://images.openfoodfacts.org/images/products/303/835/287/6506/front_en.122.400.jpg,4.8,845,19,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3242272347552,Dolce Pizza - Regina,Pizzas,Royal Kitchen,Sodebo,144.0,"Garniture 61% : sauce tomate 32% (purée de tomate, eau, farine de blé, sel), mozzarella 26%, chiffonnade de jambon cuit standard 21% (jambon de porc, eau, sel, dextrose, sirop de glucose, stabilisant:",c,179.0,3.7,25.0,10.0,https://images.openfoodfacts.org/images/products/324/227/234/7552/front_fr.109.400.jpg,3.9,1180,30,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
4001724038993,Ristorante Pizza Tonno,Pizzas,The Grill House,Dr. Oetker,31.0,"WEIZENMEHL, 16% KÄSE (schnittfester MOZZARELLA, EDAMER), 13% passierte Tomaten, 9,1% THUNFISCH (Katsuwonus pelamis), Wasser, 6,5% Tomatenkonzentrat, 5,5% Zwiebeln, Rapsöl, Sonnenblumenöl, 1,8% frittie",c,232.394366197183,10.42,23.38,10.0,https://images.openfoodfacts.org/images/products/400/172/403/8993/front_en.98.400.jpg,3.3,1103,37,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3242272345053,Sodebo Dolce Pizza - 4 Formaggi,Pizzas,Desert Rose Kitchen,Sodebo,113.0,"Pâte fine à pizza (farines de BLE et de BLE malté, eau, semoule de BLE dur, levure boulangère, sel), fromages (MOZZARELLA, GORGONZOLA, GRANA PADANO, PARMIGIANO REGGIANO), purée de tomates 14%, eau, to",c,233.0,7.9,28.0,11.0,https://images.openfoodfacts.org/images/products/324/227/234/5053/front_fr.76.400.jpg,3.6,932,47,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3270160717668,Pizza 4 Saisons,Pizzas,Crave It,Picard,59.0,"Farine de BLÉ (GLUTEN)*, eau, aubergine grillée* 6,5%, artichaut cuisiné* 6% [artichaut*, huile de tournesol*, sel, épices et aromates*, acidifiant : acide citrique, antioxydant: acide ascorbique], to",c,191.0,7.2,24.0,6.7,https://images.openfoodfacts.org/images/products/327/016/071/7668/front_fr.78.400.jpg,4.3,1221,23,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
5060198643156,Margherita,Pizzas,Mama's Kitchen,Crosta Mollica,149.0,"Wheat Flour, Mozzarella Cheese (19%) (Cow's Milk), Water, Tomato (8%), Tomato Puree (8%), Sunflower Oil, Parmigiano Reggiano D.O.P. Cheese (Cow's Milk, Non-Vegetarian Rennet), Salt, Olive Oil, Sicilia",c,232.258064516129,6.7,30.0,10.4,https://images.openfoodfacts.org/images/products/506/019/864/3156/front_en.28.400.jpg,3.2,1217,48,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
4001724038870,Pizza Quattro Formaggi,Pizzas,Burger Factory,Dr. Oetker Ristorante,91.0,"WEIZENMEHL, 19% Tomatenpuree, 10% schnittfester MOZZARELLA KÄSE, 10% EDAMER KÄSE, Wasser, SCHLAGSAHNE, Rapsöl, 4,1% EMMENTALER KÄSE, Backhefe, 0,8% BLAUSCHIMMELKÄSE, Salz, Zucker, Basilikum, SOJASAUCE",d,257.35,12.65,24.12,10.59,https://images.openfoodfacts.org/images/products/400/172/403/8870/front_de.73.400.jpg,4.5,614,49,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3270160890170,"Pizza N°3 - Légumes, Pesto, Parmesano Reggiano",Pizzas,The Hungry Bear,Picard,95.0,"Farine de _blé_ (gluten), pulpe de tomates 20,6 %, eau, oignon rouge grillé 6,7% , Parmigiano Reggiano AOP en copeaux et râpé 6,6 % (contient _lait_), demi-tomate cerise mi-séchée 5,5 %, huile d'olive",c,195.0,5.2,30.0,6.1,https://images.openfoodfacts.org/images/products/327/016/089/0170/front_fr.63.400.jpg,3.4,473,50,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3700009269152,Pizza Del Gusto Mozzarella Tomates,Pizzas,Burger Factory,"Mix,Mix buffet",33.0,"200 g de Pâte Napoli (52,6%) : pâte 50,5% (farine de blé, eau, huile d'olive vierge extra, levure, sel), huile de tournesol.
105 g de Garniture d'Ingrédients savoureux (27,7%) : mozzarella 12,1%, tom",c,218.0,6.6,30.0,8.3,https://images.openfoodfacts.org/images/products/370/000/926/9152/front_fr.49.400.jpg,4.1,1434,42,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3270160717323,"Pizza N°6 - Jambon, Speck, Roquette, Mozzarella",Pizzas,Flavor Street,Picard,31.0,"Farine de _blé_ (_gluten_), pulpe de tomate 15,8%, mozzarella (UE; contient _lait_) 15,3%, jambon cru fumé 14,1% [viande de porc (origine : UE), sel, épices et aromates, antioxydant : ascorbate de sod",c,212.0,7.2,24.0,12.0,https://images.openfoodfacts.org/images/products/327/016/071/7323/front_fr.61.400.jpg,3.6,1454,43,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
3700009268346,Pizza Del Gusto Chorizo,Pizzas,Crave It,Mix Buffet,95.0,"200 g de Pâte Napoli (52,6%) : pâte 50,5% (farine de blé, eau, huile d'olive vierge extra, levure, sel), huile de tournesol.
108,3 g de Garniture d'Ingrédients savoureux (28,5%) : mozzarella 10,6%, c",c,237.894736842105,7.1,32.0,9.7,https://images.openfoodfacts.org/images/products/370/000/926/8346/front_fr.58.400.jpg,3.5,843,40,True,OpenFoodFacts,,2026-04-30 22:26:45,0.0
